--- Throttle Uptake Sequence (Continued Fractions + Noise) ---
[-0.03369936, 1.46156268, 1.38173442, 1.41762979, 1.39138604, 1.42754053,
  1.38546696, 1.3597651 , 1.43712775, 1.45388351, 1.42974698, 1.42416007,
  1.42149808, 1.47225624, 1.41502689, 1.44173616, 1.37746741, 1.45799062,
  1.38240139, 1.398775  , 1.46639154, 1.35123994, 1.40556569, 1.34847431,
  1.41655528, 1.42006526, 1.39907816, 1.43542979, 1.43424543, 1.41311015,
  1.39740244, 1.37894488, 1.42741766, 1.42804605, 1.43357883, 1.38649334,
  1.41910201, 1.38098807, 1.40285701, 1.37297272, 1.44734336, 1.47078585,
  1.36933732, 1.4077346 , 1.44551168, 1.38145768, 1.42926823, 1.44565364,
  1.42445759, 1.35644373, 1.4370798 , 1.40891433, 1.42117366, 1.4025859 ,
  1.41944817, 1.42991639, 1.42732813, 1.43534006, 1.4495464 , 1.38859829,
  1.4351397 , 1.38873889, 1.42784878, 1.44197855, 1.40991339, 1.45232508,
  1.42601896, 1.45268786, 1.37591537, 1.44266494, 1.41699785, 1.46671859,
  1.37509454, 1.4680297 , 1.39978499, 1.38509065, 1.42413912, 1.39553222,
  1.44237997, 1.46027764, 1.39155036, 1.38714436, 1.41664387, 1.44785817,
  1.39412563, 1.44553363, 1.39772034, 1.45728993, 1.41814218, 1.37327743,
  1.40368086, 1.39547738, 1.36958622, 1.4545011 , 1.42384794, 1.40006054,
  1.4312439 , 1.39899345, 1.40833725, 1.45391608]
